VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,09/01/2021 07:05:58 AM,09/01/2021 07:20:07 AM,N,1,74,262,1,2.8,11.5,2.75,0.5,0,0,,0.3,15.05,2,1,2.75
2,09/01/2021 07:06:00 AM,09/01/2021 07:23:00 AM,,,85,76,,2.98,23.83,2.75,0,0,0,,0.3,26.88,,,
2,09/01/2021 07:06:00 AM,09/01/2021 07:44:00 AM,,,210,61,,6.52,29.06,2.75,0,0,0,,0.3,32.11,,,
2,09/01/2021 07:06:00 AM,09/01/2021 08:24:00 AM,,,188,141,,12.18,41.68,2.75,0,0,0,,0.3,44.73,,,
2,09/01/2021 07:06:55 AM,09/01/2021 07:10:19 AM,N,1,74,74,1,0.7,4.5,0,0.5,0.8,0,,0.3,6.1,1,1,0
2,09/01/2021 07:07:00 AM,09/01/2021 08:00:00 AM,,,191,75,,17.19,44.63,5.5,0,0,6.55,,0.3,56.98,,,
2,09/01/2021 07:07:00 AM,09/01/2021 07:28:00 AM,,,89,55,,4.59,21.61,2.75,0,0,0,,0.3,24.66,,,
2,09/01/2021 07:07:00 AM,09/01/2021 07:46:00 AM,,,35,195,,7.47,20.93,2.75,0,0,0,,0.3,23.98,,,
2,09/01/2021 07:08:00 AM,09/01/2021 07:31:00 AM,,,77,131,,9.04,24.36,2.75,0,0,6.55,,0.3,33.96,,,
2,09/01/2021 07:08:13 AM,09/01/2021 07:19:25 AM,N,1,41,237,1,3.07,11.5,0,0.5,0,0,,0.3,15.05,1,1,2.75
2,09/01/2021 07:09:00 AM,09/01/2021 07:51:00 AM,,,188,197,,11.37,34.07,1.35,0,0,0,,0.3,35.72,,,
2,09/01/2021 07:10:00 AM,09/01/2021 07:17:37 AM,N,1,74,263,1,1.94,8,0,0.5,2.2,0,,0.3,11,1,1,0
2,09/01/2021 07:10:00 AM,09/01/2021 07:18:00 AM,,,247,159,,1.42,14.55,2.75,0,0,0,,0.3,17.6,,,
2,09/01/2021 07:11:24 AM,09/01/2021 08:18:30 AM,N,1,197,97,1,16.2,54,0,0.5,0,0,,0.3,54.8,1,1,0
1,09/01/2021 07:11:28 AM,09/01/2021 07:25:02 AM,N,1,41,244,1,3.5,13,0,0.5,1,0,,0.3,14.8,1,1,0
2,09/01/2021 07:11:46 AM,09/01/2021 07:16:10 AM,N,1,74,75,1,0.84,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,09/01/2021 07:12:34 AM,09/01/2021 07:28:05 AM,N,1,75,79,1,5.44,18,0,0.5,3,0,,0.3,24.55,1,1,2.75
2,09/01/2021 07:12:37 AM,09/01/2021 07:33:15 AM,N,1,116,263,1,4.38,17,0,0.5,0,0,,0.3,20.55,2,1,2.75
2,09/01/2021 07:13:00 AM,09/01/2021 08:06:00 AM,,,71,68,,9.86,38.72,0,0,0,0,,0.3,41.77,,,
2,09/01/2021 07:13:00 AM,09/01/2021 07:44:00 AM,,,62,138,,11.91,39.47,0,0,4.43,0,,0.3,44.2,,,
2,09/01/2021 07:13:00 AM,09/01/2021 07:41:00 AM,,,33,140,,7.48,25.97,0,0,7.99,0,,0.3,37.01,,,
2,09/01/2021 07:14:00 AM,09/01/2021 07:24:00 AM,,,70,129,,1.54,15.89,2.75,0,0,0,,0.3,18.94,,,
